#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.4%	1000	101004.00001874221	-231966.69009925245	43584.39247741575	-188382.2976218367	301.25521188099367	170.37418757487947	1.0178377060055799	0	0.0009701251983642578	--
0.8%	2000	101008.00001874303	-232630.3843564145	43359.84194103837	-189270.5424153761	299.7031191347334	170.37418757487947	1.0178377060055799	287	1.2045691013336182	4:58
1.2%	3000	101012.00001874384	-232825.21445901797	43579.22883272116	-189245.9856262968	301.21952078176923	170.37418757487947	1.0178377060055799	291	2.3766703605651855	4:53
1.6%	4000	101016.00001874466	-231999.03525413235	43512.01571132017	-188487.0195428122	300.75494385461974	170.37418757487947	1.0178377060055799	292	3.550601005554199	4:51
2.0%	5000	101020.00001874547	-232733.60478556866	43103.88114402272	-189629.72364154595	297.9339187454396	170.0105667233289	1.020014670770366	292	4.727799654006958	4:49
2.4%	6000	101024.00001874629	-232803.60569710762	43287.58536735724	-189516.02032975038	299.20368187802774	170.0105667233289	1.020014670770366	293	5.906092882156372	4:48
2.8%	7000	101028.0000187471	-232372.14647031494	43514.50193679644	-188857.6445335185	300.7721286388983	170.05611981804455	1.0197414384694135	293	7.071415901184082	4:46
3.2%	8000	101032.00001874792	-232783.5034745175	43518.44655975345	-189265.05691476405	300.79939386291903	169.90042647634468	1.0206759090620887	293	8.254030466079712	4:45
3.6%	9000	101036.00001874873	-232225.72877295967	43896.1425419138	-188329.58623104586	303.4100275477014	169.90042647634468	1.0206759090620887	293	9.428001165390015	4:44
4.0%	10000	101040.00001874955	-232206.65587508143	43525.956632329995	-188680.69924275143	300.8513034657995	169.90042647634468	1.0206759090620887	293	10.623657464981079	4:43
4.4%	11000	101044.00001875036	-232202.39683930535	43839.76266365741	-188362.63417564792	303.02032997009366	169.90042647634468	1.0206759090620887	293	11.814311742782593	4:42
