#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.2%	5000	10.000000000000009	-4119656.8241466875	181565.91105958575	-3938090.9130871017	301.9897781161748	633.8892324878105	0.9904500340837329	0	0.0008795261383056641	--
0.4%	10000	19.999999999999794	-4139273.896175331	180835.27307347947	-3958438.6231018514	300.7745433729356	621.6471491730728	1.0099549443088776	101	8.547873735427856	1:10:56
0.6%	15000	29.99999999999425	-4149344.9930753284	180816.15008010194	-3968528.8429952264	300.7427370250739	615.0624266216911	1.020767298973749	102	17.018941164016724	1:10:29
0.8%	20000	40.00000000000292	-4159790.541799266	180630.2968325343	-3979160.2449667314	300.43361632798053	606.8094285511132	1.0346503900276476	101	25.617149114608765	1:10:35
1.0%	25000	50.00000000001514	-4168608.4325586697	180492.0414636486	-3988116.3910950213	300.20366287510217	595.6118781252588	1.054101899208309	101	34.27054715156555	1:10:40
1.2%	30000	60.00000000002736	-4173047.0457379147	180211.35600333908	-3992835.689734576	299.73681235572525	592.4712298729899	1.0596896191186442	100	43.0041229724884	1:10:48
1.4%	35000	70.00000000001826	-4178716.28227479	180526.38159561582	-3998189.9006791743	300.2607791519007	584.6856595674864	1.0738002577099233	100	51.63348960876465	1:10:42
1.6%	40000	79.99999999999496	-4184190.728506261	180989.9910367476	-4003200.7374695134	301.0318782609951	578.2421415939164	1.0857659218545421	100	60.41303205490112	1:10:46
1.8%	45000	89.99999999997165	-4188315.801382181	181567.19036161684	-4006748.611020564	301.9919059172265	570.3452099247113	1.1007993071524893	99.9	69.20647287368774	1:10:47
2.0%	50000	99.99999999994834	-4191007.2585809524	180473.41506565904	-4010533.843515293	300.1726824902758	570.3452099247113	1.1007993071524893	98.6	78.89781594276428	1:11:35
2.2%	55000	109.99999999992504	-4195736.560054678	180083.0845447349	-4015653.4755099425	299.5234646568293	562.4236833212872	1.1163036524623184	98.5	87.6834044456482	1:11:27
2.4%	60000	119.99999999990173	-4197831.74270683	180470.08591552413	-4017361.6567913056	300.1671452762432	560.634191096901	1.1198667899552832	98.4	96.5878574848175	1:11:24
2.6%	65000	129.99999999989262	-4199706.789597292	180368.57902686746	-4019338.210570425	299.99831378907805	557.701187796994	1.1257562753325148	98.3	105.49397778511047	1:11:21
2.8%	70000	139.99999999994037	-4202259.973898406	181694.4234711979	-4020565.550427208	302.2035265805283	557.701187796994	1.1257562753325148	98.2	114.43646669387817	1:11:18
3.0%	75000	149.99999999998812	-4203316.756060418	181488.3399829635	-4021828.416077454	301.86075790483295	555.5751091855699	1.1300643271136133	98.1	123.28053283691406	1:11:10
3.2%	80000	160.00000000003587	-4204183.450179678	180013.8129482742	-4024169.637231404	299.4082485685072	555.5751091855699	1.1300643271136133	98	132.2372829914093	1:11:06
3.4%	85000	170.00000000008362	-4205763.05569067	181284.2932817438	-4024478.7624089266	301.5213769182421	555.5751091855699	1.1300643271136133	97.9	141.18022775650024	1:11:01
3.6%	90000	180.00000000013137	-4206524.450278383	180487.60389713597	-4026036.8463812466	300.1962820858411	555.5751091855699	1.1300643271136133	97.9	150.0312306880951	1:10:53
3.8%	95000	190.0000000001791	-4209534.790525885	180408.66492041698	-4029126.125605468	300.06498671257987	552.4468146228096	1.1364634482534328	97.8	158.97338771820068	1:10:48
4.0%	100000	200.00000000022686	-4209606.227254681	180861.4125099499	-4028744.8147447314	300.8180198304585	552.4468146228096	1.1364634482534328	97.2	168.81080031394958	1:11:04
4.2%	105000	210.0000000002746	-4211541.287702212	180891.5958715776	-4030649.6918306346	300.8682223526586	551.9747393277964	1.1374354063511156	97.2	177.77943587303162	1:10:57
4.4%	110000	220.00000000032236	-4211862.058243098	181019.61008658897	-4030842.4481565086	301.0811421907571	548.8288669371258	1.143955155687517	97.2	186.7592272758484	1:10:50
4.6%	115000	230.0000000003701	-4213428.448360685	180875.255354475	-4032553.19300621	300.8410439626992	547.3916318973297	1.1469587318072518	97.2	195.61518931388855	1:10:41
4.8%	120000	240.00000000041786	-4213249.682066038	180773.61862497835	-4032476.06344106	300.67199651755914	547.3916318973297	1.1469587318072518	97.1	204.60110664367676	1:10:34
5.0%	125000	250.0000000004656	-4215234.780839703	180423.87157322964	-4034810.9092664733	300.09027920103205	544.5408645872519	1.1529632627273008	97.1	213.58736991882324	1:10:27
5.2%	130000	260.00000000051335	-4216527.876431647	180087.47879309516	-4036440.3976385514	299.53077339710745	543.6893078287364	1.154769098605546	97.1	222.4932563304901	1:10:18
5.4%	135000	270.0000000005611	-4217613.758336999	180680.3752384677	-4036933.3830985315	300.51690931292467	542.8619911194293	1.1565289561499985	97	231.4691948890686	1:10:10
5.6%	140000	280.00000000060885	-4217982.434263094	180629.53124568763	-4037352.903017407	300.43234296449174	542.8619911194293	1.1565289561499985	97	240.47872376441956	1:10:03
5.8%	145000	290.0000000006566	-4218477.167275779	179916.9000333817	-4038560.267242397	299.24705801520247	542.8619911194293	1.1565289561499985	97	249.34988689422607	1:09:54
6.0%	150000	300.00000000070435	-4218093.487377807	179943.1034070643	-4038150.383970742	299.29064081639086	542.3850984741766	1.1575458354019563	96.6	259.40896582603455	1:10:04
6.2%	155000	310.0000000007521	-4220203.946233143	180399.9567246107	-4039803.9895085325	300.05050279264145	542.3985887049726	1.1575170455769062	96.6	268.35034108161926	1:09:55
