#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.2%	5000	10.000000000000009	-5955574.361085862	184676.3144588194	-5770898.046627043	300.91486511704613	644.8739892953381	0.9936928866384879	0	0.0008955001831054688	--
0.4%	10000	19.999999999999794	-5985732.141700594	185619.87761861386	-5800112.26408198	302.4523236795641	629.2513593125011	1.0183636260096214	101	8.536529541015625	1:10:51
0.6%	15000	29.99999999999425	-6004299.861947646	184126.76803516675	-5820173.0939124795	300.01942441890577	619.8445083137632	1.0338184614787096	101	17.083096981048584	1:10:45
0.8%	20000	40.00000000000292	-6014844.800134163	186288.78824112637	-5828556.011893037	303.5422585222566	613.9929890929631	1.0436710309797022	101	25.73853588104248	1:10:55
1.0%	25000	50.00000000001514	-6035960.127769604	186484.19248383256	-5849475.935285772	303.86065366409997	587.9533634265531	1.0898937497463794	100	34.49259114265442	1:11:08
1.2%	30000	60.00000000002736	-6047927.671524089	184159.59623827258	-5863768.075285817	300.0729152758063	577.9880047428553	1.1086851122906163	99.5	43.40984225273132	1:11:28
1.4%	35000	70.00000000001826	-6055621.013849127	185582.85865998792	-5870038.155189139	302.3920043312256	577.9880047428553	1.1086851122906163	99.2	52.25863456726074	1:11:33
1.6%	40000	79.99999999999496	-6057301.41367776	183920.81915937617	-5873380.594518384	299.6838476647284	575.5552669628887	1.113371265495309	98.8	61.1913685798645	1:11:40
1.8%	45000	89.99999999997165	-6061693.767685203	184372.64331054868	-5877321.124374654	300.420057957343	573.0236828378416	1.1182900727024607	98.5	70.18253517150879	1:11:47
2.0%	50000	99.99999999994834	-6066184.863683668	183535.51917340196	-5882649.344510266	299.05603302781196	573.0236828378416	1.1182900727024607	97.1	80.0641143321991	1:12:39
2.2%	55000	109.99999999992504	-6066938.332192956	184826.1397561795	-5882112.192436776	301.15899311623406	573.0447615338286	1.1182489378766147	97	89.11575865745544	1:12:37
2.4%	60000	119.99999999990173	-6071596.768288155	184550.37491977963	-5887046.3933683755	300.70965699648065	567.2326096423241	1.129707081447646	96.9	98.03266191482544	1:12:29
2.6%	65000	129.99999999989262	-6072295.58164778	185702.55458946712	-5886593.027058313	302.58703900353777	567.2326096423241	1.129707081447646	96.8	107.09217405319214	1:12:26
2.8%	70000	139.99999999994037	-6076382.752010122	184050.49247466805	-5892332.259535454	299.8951396666003	565.0764326499891	1.134017734443157	96.7	116.18359923362732	1:12:23
3.0%	75000	149.99999999998812	-6076308.141134487	185005.94315679575	-5891302.197977692	301.45196796903303	565.0764326499891	1.134017734443157	96.6	125.26390266418457	1:12:19
3.2%	80000	160.00000000003587	-6079599.917022895	184326.13458933454	-5895273.78243356	300.3442758213829	563.4606492026708	1.1372696511242448	96.5	134.23151469230652	1:12:11
3.4%	85000	170.00000000008362	-6081905.857660886	185665.46864777652	-5896240.38901311	302.52661051180473	558.1427503192076	1.1481053826722247	96.5	143.324227809906	1:12:06
3.6%	90000	180.00000000013137	-6083906.5346303005	184246.316387032	-5899660.218243268	300.21421862563403	557.0216983498224	1.150416039158533	96.4	152.43104362487793	1:12:01
3.8%	95000	190.0000000001791	-6086419.654687983	184131.57276312305	-5902288.08192486	300.02725332793034	555.1969740286834	1.1541970254107607	96.3	161.43131351470947	1:11:53
4.0%	100000	200.00000000022686	-6088572.962133924	183097.06933464046	-5905475.892799283	298.3416150772581	554.894633189379	1.1548259031769408	95.7	171.57631063461304	1:12:14
4.2%	105000	210.0000000002746	-6090843.814280427	183311.8309678287	-5907531.983312598	298.69155149478155	553.4736115149562	1.1577908731492352	95.5	180.8624393939972	1:12:11
4.4%	110000	220.00000000032236	-6091898.988967211	183845.62434382617	-5908053.364623385	299.5613238974276	553.4736115149562	1.1577908731492352	95.5	190.00270795822144	1:12:04
4.6%	115000	230.0000000003701	-6091079.100033704	184796.15888976824	-5906282.941143936	301.1101417602891	551.3638631491775	1.1622210644725997	95.5	199.0298204421997	1:11:55
4.8%	120000	240.00000000041786	-6092729.803177921	183679.55974024496	-5909050.243437676	299.2907352844059	551.3638631491775	1.1622210644725997	95.5	208.18987226486206	1:11:48
5.0%	125000	250.0000000004656	-6094665.572632159	184781.05629269066	-5909884.516339469	301.0855333205125	551.3638631491775	1.1622210644725997	95.4	217.3544888496399	1:11:41
5.2%	130000	260.00000000051335	-6094422.898165597	185001.85258365516	-5909421.0455819415	301.4453027165427	551.3638631491775	1.1622210644725997	95.4	226.507337808609	1:11:34
5.4%	135000	270.0000000005611	-6097100.69000609	184199.60213309716	-5912901.087872993	300.13810159101024	551.3638631491775	1.1622210644725997	95.4	235.56144952774048	1:11:25
5.6%	140000	280.00000000060885	-6096378.572719529	183380.41568449215	-5912998.157035037	298.80330464961554	550.731000031648	1.1635566109482443	95.3	244.71003937721252	1:11:17
5.8%	145000	290.0000000006566	-6097568.6188489925	185036.37424269217	-5912532.2446063	301.50155292059935	549.6629782156946	1.1658174578559688	95.3	253.87815403938293	1:11:10
6.0%	150000	300.00000000070435	-6098131.456656946	184707.775765845	-5913423.680891101	300.9661287292086	549.6629782156946	1.1658174578559688	94.7	264.575190782547	1:11:27
6.2%	155000	310.0000000007521	-6099934.888481278	185420.3945777307	-5914514.4939035475	302.1272824715651	548.754371628002	1.1677477739992597	94.7	273.8007712364197	1:11:20
6.4%	160000	320.00000000079984	-6100498.279045312	184003.45523922832	-5916494.823806084	299.81849636017904	547.3439396739693	1.1707569034612213	94.7	282.88279819488525	1:11:10
6.6%	165000	330.0000000008476	-6102169.124350888	184005.12892442738	-5918163.99542646	299.8212234925533	544.9550735218438	1.1758890357688832	94.7	292.0890967845917	1:11:02
6.8%	170000	340.00000000089534	-6102627.821321111	183373.85932595082	-5919253.96199516	298.79262160262107	544.0903877957502	1.1777577959740002	94.6	301.2997441291809	1:10:54
7.0%	175000	350.0000000009431	-6104284.765439535	184205.82818153864	-5920078.937257996	300.1482464248644	544.0903877957502	1.1777577959740002	94.6	310.4175515174866	1:10:45
7.2%	180000	360.00000000099084	-6103849.198551584	184340.44265272596	-5919508.755898858	300.36758963386677	541.54419916528	1.183295282137048	94.6	319.6635208129883	1:10:37
7.4%	185000	370.0000000010386	-6105381.892653901	183946.34623330837	-5921435.546420593	299.7254419321452	541.2619288194783	1.1839123755454148	94.6	328.93154978752136	1:10:30
7.6%	190000	380.00000000108633	-6106137.172352182	183275.974709298	-5922861.197642883	298.63312667061837	541.2619288194783	1.1839123755454148	94.5	338.21036887168884	1:10:23
7.8%	195000	390.0000000011341	-6108557.905406181	184624.85612316726	-5923933.049283014	300.83101799145624	541.2619288194783	1.1839123755454148	94.5	347.38295793533325	1:10:14
8.0%	200000	400.00000000118183	-6107944.1825440675	184804.8741472462	-5923139.308396821	301.12434255553524	541.2619288194783	1.1839123755454148	94.2	357.6113395690918	1:10:17
8.2%	205000	410.0000000012296	-6109077.306581425	183328.24201290746	-5925749.064568517	298.71829194295856	539.8928605740352	1.1869145579358673	94.2	366.81573724746704	1:10:09
8.4%	210000	420.00000000127733	-6109985.633314947	184098.35020826774	-5925887.283106679	299.97311990728883	539.8928605740352	1.1869145579358673	94.2	376.07049345970154	1:10:00
8.6%	215000	430.0000000013251	-6109176.591545516	184578.41240667625	-5924598.179138839	300.755341775346	537.8046440753277	1.1915231729594493	94.2	385.3463852405548	1:09:52
8.8%	220000	440.0000000013728	-6109898.462047139	184544.8961739035	-5925353.565873235	300.7007298306924	537.8046440753277	1.1915231729594493	94.2	394.5203297138214	1:09:43
9.0%	225000	450.0000000014206	-6110025.013322078	184247.93114900638	-5925777.082173071	300.21684974746	537.8046440753277	1.1915231729594493	94.1	403.8070242404938	1:09:35
9.2%	230000	460.0000000014683	-6110828.594142843	183906.87130353748	-5926921.722839305	299.66112078082523	537.4986501649684	1.1922014980768534	94.1	413.08778166770935	1:09:27
9.4%	235000	470.00000000151607	-6113376.69681132	183363.9495066075	-5930012.747304712	298.7764743670659	536.9535261982284	1.1934118404585983	94.1	422.2554392814636	1:09:18
9.6%	240000	480.0000000015638	-6112602.561171936	183663.5821043588	-5928938.979067577	299.26470104086115	536.5044290022644	1.1944108217944593	94.1	431.5536983013153	1:09:10
9.8%	245000	490.00000000161157	-6114193.306085356	183633.6106049281	-5930559.695480428	299.21586494764057	535.7384774588064	1.196118484863231	94.1	440.853408575058	1:09:02
10.0%	250000	500.0000000016593	-6116279.942168025	184430.12060974643	-5931849.821558279	300.5137124889815	535.7384774588064	1.196118484863231	93.9	451.03050899505615	1:09:02
10.2%	255000	510.00000000170706	-6115772.427436486	184475.86878154447	-5931296.558654942	300.58825537222185	535.7384774588064	1.196118484863231	93.9	460.2683539390564	1:08:53
10.4%	260000	520.0000000015274	-6117159.938532	182786.90213902804	-5934373.036392973	297.8362231426998	534.2134090934773	1.1995331547898918	93.8	469.5615322589874	1:08:44
10.6%	265000	530.0000000012909	-6117948.174455558	185309.54616555004	-5932638.628290008	301.94666410099853	533.9272506973418	1.20017604477769	93.8	478.87315487861633	1:08:36
10.8%	270000	540.0000000010544	-6117087.105643444	183330.43335295358	-5933756.67229049	298.72186255133	533.9731734282159	1.2000728273048868	93.8	488.18907713890076	1:08:28
11.0%	275000	550.000000000818	-6118101.5566714415	184389.59592194716	-5933711.960749494	300.4476808432951	533.8902575376881	1.200259204759372	93.8	497.38435101509094	1:08:18
11.2%	280000	560.0000000005815	-6117960.611234851	184445.93567454515	-5933514.675560306	300.53948183631053	533.8902575376881	1.200259204759372	93.8	506.68073987960815	1:08:10
11.4%	285000	570.000000000345	-6118414.470832389	184226.5599632282	-5934187.910869161	300.18202715797594	533.8902575376881	1.200259204759372	93.8	516.0017485618591	1:08:01
11.6%	290000	580.0000000001086	-6119854.625434859	184668.66756871255	-5935185.957866146	300.9024051385599	533.8902575376881	1.200259204759372	93.7	525.3300514221191	1:07:53
11.8%	295000	589.9999999998721	-6118831.117174296	184125.76018665158	-5934705.356987644	300.017782212644	533.8902575376881	1.200259204759372	93.7	534.5447766780853	1:07:44
12.0%	300000	599.9999999996356	-6119277.199096786	184331.84992889944	-5934945.349167886	300.35358849712753	533.6153420615889	1.2008775712205835	93.6	544.7066819667816	1:07:42
