#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.2%	5000	10.000000000000009	-5191466.134125968	183257.35021428298	-5008208.783911685	303.47061049602695	641.7214191486057	0.9828322861532571	0	0.0009338855743408203	--
0.4%	10000	19.999999999999794	-5213396.388437364	181466.55451978935	-5031929.833917575	300.50508762861574	632.0238253973185	0.9979125851131444	102	8.481663227081299	1:10:23
0.6%	15000	29.99999999999425	-5230548.169751198	181167.50278242363	-5049380.666968774	300.0098637633675	619.2141510810288	1.0185563885357722	102	16.950801849365234	1:10:12
0.8%	20000	40.00000000000292	-5240184.752639068	182432.59506607542	-5057752.157572993	302.10483199904644	613.0400305208987	1.0288145929384556	101	25.54982566833496	1:10:24
1.0%	25000	50.00000000001514	-5251657.172194349	182113.9973308319	-5069543.174863516	301.57724034117325	601.0885443517476	1.0492705864749576	101	34.252265214920044	1:10:38
1.2%	30000	60.00000000002736	-5260311.56152376	179820.61500697813	-5080490.946516782	297.7794437829075	595.1116296724946	1.0598087787369068	101	42.95583152770996	1:10:44
1.4%	35000	70.00000000001826	-5264514.554806783	181385.97332091405	-5083128.581485868	300.37164672930885	594.5015002111794	1.060896447244115	100	51.6086220741272	1:10:40
1.6%	40000	79.99999999999496	-5273696.567284968	182444.6089935814	-5091251.958291386	302.1247268295154	582.7579377278066	1.0822753129961225	100	60.3678035736084	1:10:42
1.8%	45000	89.99999999997165	-5278863.397363467	180972.0829975147	-5097891.314365952	299.6862523973842	578.1472771818683	1.0909063388305735	99.9	69.2209312915802	1:10:48
2.0%	50000	99.99999999994834	-5282145.608586092	181843.69091867964	-5100301.917667412	301.12961817583624	576.4480167992924	1.0941221256294744	98.5	78.9258201122284	1:11:37
2.2%	55000	109.99999999992504	-5285005.899415416	182021.71291979455	-5102984.186495621	301.4244191499685	570.1401518354326	1.1062271748883696	98.4	87.76663279533386	1:11:31
2.4%	60000	119.99999999990173	-5289845.61021627	181899.96220826858	-5107945.648008002	301.2228023378084	564.5578000548606	1.1171655575284734	98.3	96.6550064086914	1:11:27
2.6%	65000	129.99999999989262	-5290282.982940692	181827.55148615892	-5108455.431454534	301.10289158923877	564.5578000548606	1.1171655575284734	98.2	105.60446047782898	1:11:25
2.8%	70000	139.99999999994037	-5293627.153101411	182571.9325643038	-5111055.2205371065	302.33557218820073	564.5578000548606	1.1171655575284734	98.1	114.52450513839722	1:11:21
3.0%	75000	149.99999999998812	-5296433.174830962	180675.0821922645	-5115758.0926386975	299.194424835861	561.3343510056295	1.1235808539517147	98	123.3872742652893	1:11:14
3.2%	80000	160.00000000003587	-5297198.034597854	181748.35498970674	-5115449.679608148	300.97174373023404	558.7639560783979	1.1287494882129532	97.9	132.334787607193	1:11:09
3.4%	85000	170.00000000008362	-5300863.651194971	180706.17996297064	-5120157.471232001	299.2459221397903	556.3651203796319	1.1336162285388773	97.8	141.334698677063	1:11:06
3.6%	90000	180.00000000013137	-5301878.596982697	182308.5108273173	-5119570.08615538	301.8993509111401	556.0460555121571	1.1342667090308087	97.8	150.19321823120117	1:10:58
3.8%	95000	190.0000000001791	-5301511.863407256	180956.28262128678	-5120555.580785969	299.6600872814184	555.9605452973708	1.1344411663564848	97.7	159.21157598495483	1:10:54
4.0%	100000	200.00000000022686	-5305212.18717758	180271.98623210864	-5124940.200945471	298.52690575968785	553.4092029962806	1.1396711981668575	97.1	169.04870223999023	1:11:10
4.2%	105000	210.0000000002746	-5307778.52756649	182036.60033507092	-5125741.927231419	301.4490724203413	551.0428919739234	1.1445652210412383	97	178.1671166419983	1:11:07
4.4%	110000	220.00000000032236	-5310354.219563946	181084.27531038292	-5129269.944253563	299.8720406871268	550.7280401877813	1.1452195701535115	97	187.06406211853027	1:10:57
4.6%	115000	230.0000000003701	-5310010.783628355	179821.5214746739	-5130189.26215368	297.7809448757953	548.95728661305	1.1489136674852243	96.9	196.1047580242157	1:10:51
4.8%	120000	240.00000000041786	-5311466.761749862	180933.34898204324	-5130533.412767818	299.62210962052785	548.95728661305	1.1489136674852243	96.9	205.12063145637512	1:10:45
5.0%	125000	250.0000000004656	-5311784.069977578	180710.49753406693	-5131073.57244351	299.2530719536172	548.95728661305	1.1489136674852243	96.9	214.05986952781677	1:10:36
5.2%	130000	260.00000000051335	-5312855.156659648	180754.42962351412	-5132100.727036133	299.32582263995704	548.95728661305	1.1489136674852243	96.8	223.0764684677124	1:10:29
5.4%	135000	270.0000000005611	-5313167.842849625	181123.78430833496	-5132044.05854129	299.9374668199099	548.95728661305	1.1489136674852243	96.8	232.14006185531616	1:10:23
5.6%	140000	280.00000000060885	-5313970.311183626	180670.6432085684	-5133299.667975058	299.1870739651284	547.8904054939574	1.1511508928263077	96.8	241.05728721618652	1:10:14
5.8%	145000	290.0000000006566	-5316023.473970722	180685.25288642637	-5135338.221084296	299.21126730773386	547.8904054939574	1.1511508928263077	96.7	250.1051640510559	1:10:07
6.0%	150000	300.00000000070435	-5316839.586223224	181796.13383941306	-5135043.452383811	301.05086457680426	547.8904054939574	1.1511508928263077	96.4	260.00234389305115	1:10:13
6.2%	155000	310.0000000007521	-5317836.549542308	181803.54535470382	-5136033.004187604	301.06313790208895	547.4864192829529	1.152000318622287	96.3	269.0408148765564	1:10:06
6.4%	160000	320.00000000079984	-5318815.525809137	181266.31322902397	-5137549.212580113	300.17349194263625	547.4864192829529	1.152000318622287	96.4	277.8748519420624	1:09:55
6.6%	165000	330.0000000008476	-5318048.480808718	181634.58616017314	-5136413.894648545	300.7833447595319	547.4864192829529	1.152000318622287	96.4	286.87426352500916	1:09:46
6.8%	170000	340.00000000089534	-5320236.58111476	181270.99887193652	-5138965.582242823	300.18125127623773	547.3835193131446	1.1522168775682964	96.4	295.8244469165802	1:09:37
7.0%	175000	350.0000000009431	-5322442.669646136	181941.8939923839	-5140500.7756537525	301.292240557393	544.7634105606003	1.1577586108551177	96.4	304.83775806427	1:09:29
7.2%	180000	360.00000000099084	-5321196.279260501	182024.88492532092	-5139171.3943351805	301.4296719294748	544.7634105606003	1.1577586108551177	96.4	313.69684743881226	1:09:18
