#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.2%	5000	10.000000000000009	-266094.7128560926	9501.138775249483	-256593.57408084313	292.33128214411715	34.76959511106452	0.9687550823494328	0	0.0008261203765869141	--
0.4%	10000	19.999999999999794	-266701.5871277845	10035.934725287061	-256665.65240249745	308.78589768633265	34.4097103798757	0.978887110737647	544	1.5895328521728516	13:11
0.6%	15000	29.99999999999425	-267805.2570068092	10070.02936657592	-257735.22764023326	309.83492248619973	34.02673046577708	0.9899047458865663	542	3.186882972717285	13:11
0.8%	20000	40.00000000000292	-267893.9923553869	9543.529978863846	-258350.46237652306	293.6355757869488	33.92999569006877	0.9927269747615894	541	4.786986589431763	13:11
1.0%	25000	50.00000000001514	-269389.06976269267	9866.523671416657	-259522.54609127602	303.5734540247021	33.39868691503034	1.0085193487028186	542	6.380727291107178	13:09
1.2%	30000	60.00000000002736	-270775.590947897	9937.492800925482	-260838.09814697152	305.75703402629216	32.86733147803475	1.0248237523507575	541	7.985139846801758	13:08
1.4%	35000	70.00000000001826	-271127.0343932486	9738.409494842086	-261388.62489840653	299.6316337455957	32.625331082078674	1.0324254454410173	540	9.599803447723389	13:08
1.6%	40000	79.99999999999496	-271478.52330287365	9727.272094704136	-261751.25120816953	299.2889579317701	32.441597086461	1.0382726191101395	539	11.21432614326477	13:08
1.8%	45000	89.99999999997165	-271563.30945269146	9745.01321846216	-261818.29623422932	299.8348172837428	32.00935358835494	1.0522931018303898	538	12.838399410247803	13:07
2.0%	50000	99.99999999994834	-271945.77164751734	9735.566999759409	-262210.2046477579	299.5441757838015	31.478245130060646	1.070047641979553	536	14.510374546051025	13:10
2.2%	55000	109.99999999992504	-272213.5761826806	9544.057018846486	-262669.5191638341	293.65179176668664	31.43314251069662	1.071583026215512	535	16.14900827407837	13:09
2.4%	60000	119.99999999990173	-272128.439268038	9969.089051468294	-262159.3502165697	306.7291882754426	31.27170827360383	1.0771148694651722	534	17.788930654525757	13:09
2.6%	65000	129.99999999989262	-272479.8865105092	9994.851551371547	-262485.0349591376	307.52184953490917	30.780411211848303	1.0943070819700438	534	19.431072235107422	13:08
2.8%	70000	139.99999999994037	-272610.44047938817	9369.84423589005	-263240.59624349815	288.291608381068	30.23394867756848	1.1140861001747475	533	21.088735580444336	13:08
3.0%	75000	149.99999999998812	-272848.6927778357	9726.604248444126	-263122.08852939156	299.2684096208694	30.22336149877936	1.1144763621490652	532	22.737513065338135	13:07
3.2%	80000	160.00000000003587	-272738.60903437587	9566.116974112658	-263172.49206026323	294.3305330375542	30.069966461583835	1.1201616076994318	531	24.39028787612915	13:06
3.4%	85000	170.00000000008362	-273334.63100980205	9978.831538332428	-263355.7994714696	307.02894536179144	29.610968475389683	1.1375251708862746	531	26.037107467651367	13:05
3.6%	90000	180.00000000013137	-273632.7634455336	10011.47238237546	-263621.29106315813	308.03323969061677	29.30194101719087	1.1495218680330581	530	27.6902813911438	13:05
3.8%	95000	190.0000000001791	-273774.61967539677	9650.106544553846	-264124.51313084294	296.91472630055193	29.065861697421106	1.1588585374045288	530	29.343411922454834	13:04
4.0%	100000	200.00000000022686	-273819.2613490297	9616.873724697885	-264202.38762433187	295.89221804469264	29.065861697421106	1.1588585374045288	529	31.03504490852356	13:04
4.2%	105000	210.0000000002746	-274026.6284313931	9651.303580548847	-264375.3248508443	296.9515567348261	29.001857532949998	1.1614160209154565	528	32.70181632041931	13:03
4.4%	110000	220.00000000032236	-274036.2223765418	9656.25774787026	-264379.9646286715	297.1039866823602	29.001857532949998	1.1614160209154565	528	34.35790181159973	13:02
4.6%	115000	230.0000000003701	-273745.37618659384	9738.574402449793	-264006.8017841441	299.63670762711	28.97078125716555	1.1626618445695047	528	36.01334309577942	13:00
4.8%	120000	240.00000000041786	-274270.3202362777	9970.996469378904	-264299.32376689883	306.7878757587626	28.852710730113696	1.1674196677790976	528	37.67098546028137	12:59
5.0%	125000	250.0000000004656	-273835.77252878214	9771.2537901991	-264064.518738583	300.6421878696811	28.852710730113696	1.1674196677790976	527	39.327348947525024	12:58
5.2%	130000	260.00000000051335	-273944.10033970844	9656.37480286449	-264287.72553684394	297.10758823343247	28.82520357508807	1.1685337065298704	527	40.985217571258545	12:57
5.4%	135000	270.0000000005611	-273970.9711769677	9499.264955995035	-264471.7062209727	292.2736284251138	28.844552503150894	1.1677498540286346	527	42.648988008499146	12:55
5.6%	140000	280.00000000060885	-274308.7622421001	9685.469930064623	-264623.29231203545	298.00278785526285	28.71827129435793	1.1728847335491686	527	44.29500150680542	12:54
5.8%	145000	290.0000000006566	-274157.2790969528	9492.81789047201	-264664.4612064808	292.075264947325	28.71827129435793	1.1728847335491686	526	45.94991731643677	12:52
6.0%	150000	300.00000000070435	-273935.07108837995	9671.275393691021	-264263.7956946889	297.5660499951291	28.71827129435793	1.1728847335491686	526	47.65356087684631	12:52
