#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.2%	5000	10.000000000000009	-315595.718708235	10830.720828813533	-304764.99787942145	312.6448475224639	37.59891012463209	0.956591390558284	0	0.0008862018585205078	--
0.4%	10000	19.999999999999794	-316797.10065379034	10611.53127329234	-306185.569380498	306.3176153605813	37.43835810325326	0.9606936719928533	552	1.5662076473236084	12:59
0.6%	15000	29.99999999999425	-318010.08701754984	10321.871639402905	-307688.2153781469	297.9561596918274	36.62660471120143	0.9819854721231672	551	3.1386561393737793	12:59
0.8%	20000	40.00000000000292	-318174.3286931188	10422.311208566036	-307752.0174845528	300.85549707505015	36.31687842260505	0.9903602754913708	550	4.71164870262146	12:58
1.0%	25000	50.00000000001514	-318655.20890378975	10289.292035072163	-308365.9168687176	297.0157010105151	35.95998042050721	1.000189468932154	550	6.287166357040405	12:58
1.2%	30000	60.00000000002736	-319192.99474467273	10440.478154581098	-308752.51659009163	301.3799129617304	35.31531683024816	1.0184474315346252	549	7.868753671646118	12:57
1.4%	35000	70.00000000001826	-319477.0717173657	10452.625416051704	-309024.446301314	301.7305617108136	34.951092383938835	1.0290606463598164	549	9.447399139404297	12:56
1.6%	40000	79.99999999999496	-319569.1013214234	10494.148058706833	-309074.9532627166	302.9291744796984	34.55510535221247	1.0408532502794092	548	11.035098314285278	12:55
1.8%	45000	89.99999999997165	-319584.5061852916	10530.819212453516	-309053.6869728381	303.98774181356447	34.143178050387526	1.05341083558534	548	12.61815094947815	12:54
2.0%	50000	99.99999999994834	-320326.36465492065	10366.035290091277	-309960.32936482935	299.23100908123905	33.80053044339754	1.0640896236769966	545	14.261104345321655	12:56
2.2%	55000	109.99999999992504	-320284.3894275278	10544.429892736418	-309739.95953479136	304.38063432081145	33.10658902205785	1.086393820143605	544	15.877103328704834	12:56
2.4%	60000	119.99999999990173	-320248.992938788	10559.498086388972	-309689.49485239905	304.81560011684684	32.98507429867363	1.0903960195428157	544	17.46482825279236	12:54
2.6%	65000	129.99999999989262	-321164.41501570033	10468.092006861694	-310696.32300883863	302.1770278326822	32.935627950410726	1.0920330340672686	544	19.04657006263733	12:52
2.8%	70000	139.99999999994037	-321279.6734578831	10462.566269831766	-310817.10718805133	302.0175192239315	32.89258151942369	1.0934621746960995	545	20.625765323638916	12:51
3.0%	75000	149.99999999998812	-320911.07293462043	10565.788605509051	-310345.2843291114	304.99718529683804	32.83389876255056	1.0954164773334958	545	22.211320877075195	12:49
3.2%	80000	160.00000000003587	-320919.9938138099	10428.287589518133	-310491.70622429176	301.02801419011917	32.7757495871911	1.097359913124725	545	23.793028593063354	12:47
