#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.2%	5000	10.000000000000009	-329196.05795832735	13920.120567311033	-315275.93739101634	302.66721487688045	48.97872151700531	0.9722859725149509	0	0.0008187294006347656	--
0.4%	10000	19.999999999999794	-329914.02689339	13715.594930182951	-316198.431963207	298.2201840727188	48.60298291698447	0.9798024940987525	469	1.8421781063079834	15:17
0.6%	15000	29.99999999999425	-331106.3408351405	13800.021229504307	-317306.3196056362	300.0558774314361	47.36275753378365	1.0054592756499106	469	3.684316635131836	15:15
0.8%	20000	40.00000000000292	-331978.43057718885	13850.14009976306	-318128.2904774258	301.14561934858693	47.162117539181246	1.0097367626281348	469	5.532516241073608	15:14
1.0%	25000	50.00000000001514	-332725.72035891406	13759.548779718158	-318966.1715791959	299.1758790437221	46.65605624389978	1.0206890105274784	468	7.37946343421936	15:13
1.2%	30000	60.00000000002736	-334045.0553959725	13983.384580179969	-320061.6708157925	304.0427735499814	45.39613617418239	1.0490171167867712	468	9.230559825897217	15:11
1.4%	35000	70.00000000001826	-334144.89299751486	13720.901520482916	-320423.99147703196	298.3355660407712	45.305928839778254	1.0511057846559213	467	11.105550050735474	15:12
1.6%	40000	79.99999999999496	-334704.71258516016	13791.782047891895	-320912.9305372683	299.8767317020988	44.25728646941603	1.076010927954409	466	12.96542501449585	15:11
1.8%	45000	89.99999999997165	-335092.1853086338	14009.99972043332	-321082.18558820046	304.62147043231704	43.267471089930076	1.10062646794681	466	14.835138320922852	15:10
2.0%	50000	99.99999999994834	-335931.3184777633	13788.716990724064	-322142.60148703924	299.81008771637045	43.21585155649867	1.1019411203882505	464	16.76446223258972	15:12
2.2%	55000	109.99999999992504	-336413.9828153721	14057.891743068001	-322356.0910723041	305.6627936762909	43.0622827863136	1.1058708642783759	463	18.644952058792114	15:11
2.4%	60000	119.99999999990173	-336934.984654607	13656.909772299206	-323278.0748823078	296.94418411241713	42.448769985858455	1.1218540348416506	463	20.525508642196655	15:10
2.6%	65000	129.99999999989262	-337200.84441430995	13812.351515918413	-323388.49289839156	300.3239766500848	42.108346805364185	1.1309236171825672	463	22.40497064590454	15:09
2.8%	70000	139.99999999994037	-337629.90372116416	14126.362776645476	-323503.5409445187	307.1515693612733	41.811207922185126	1.1389607296524067	463	24.284485816955566	15:07
3.0%	75000	149.99999999998812	-337289.25960319256	13654.65568976912	-323634.60391342343	296.89517326670034	41.43151684353241	1.149398513758115	462	26.178612232208252	15:06
3.2%	80000	160.00000000003587	-337781.7393574669	13741.583744648786	-324040.15561281814	298.78526266196593	41.22332142616739	1.1552034682113654	462	28.05840802192688	15:05
3.4%	85000	170.00000000008362	-338060.38484999497	13652.435753054022	-324407.9490969409	296.8469048584267	40.847985415212044	1.1658181767996318	462	29.937620401382446	15:03
3.6%	90000	180.00000000013137	-338083.4444501871	13992.280905248463	-324091.1635449386	304.2362076454765	40.847985415212044	1.1658181767996318	462	31.820073127746582	15:02
3.8%	95000	190.0000000001791	-338515.6367333745	13638.28180396068	-324877.3549294138	296.5391534757518	40.663853205997874	1.1710971816039402	461	33.69965624809265	15:00
4.0%	100000	200.00000000022686	-338844.5785829524	13861.52990197549	-324983.0486809769	301.3932694818573	40.51880759544445	1.1752893707576566	461	35.645301818847656	15:00
4.2%	105000	210.0000000002746	-339330.54729029903	13626.62733923043	-325703.9199510686	296.28574874669584	40.2372413873153	1.1835136366409296	460	37.5471727848053	14:59
4.4%	110000	220.00000000032236	-338727.35556648835	13846.095197853712	-324881.26036863466	301.05767045551283	40.117230568924796	1.187054121317846	460	39.44309878349304	14:57
4.6%	115000	230.0000000003701	-339335.4119780213	13731.783217819708	-325603.6287602016	298.57216837550914	40.117230568924796	1.187054121317846	460	41.339279651641846	14:56
4.8%	120000	240.00000000041786	-339387.30658937444	13875.786891033054	-325511.5196983414	301.7032612775258	40.117230568924796	1.187054121317846	460	43.2442672252655	14:54
5.0%	125000	250.0000000004656	-339983.073426462	14060.437167133214	-325922.6362593288	305.7181392035637	39.86153290410994	1.1946686545461587	459	45.135539054870605	14:53
5.2%	130000	260.00000000051335	-339271.2396586018	13737.596849830494	-325533.64280877134	298.6985750255461	39.86153290410994	1.1946686545461587	459	47.02190136909485	14:51
5.4%	135000	270.0000000005611	-339831.2624306666	13719.88612520048	-326111.3763054661	298.3134881528213	39.66168502174671	1.2006883685498846	459	48.907649517059326	14:49
5.6%	140000	280.00000000060885	-339958.348586376	13628.263485048526	-326330.08510132745	296.3213237042188	39.572826858998226	1.203384434788543	459	50.803122997283936	14:48
5.8%	145000	290.0000000006566	-340172.80813565024	14198.68844268626	-325974.11969296396	308.72415688297093	39.572826858998226	1.203384434788543	459	52.69555068016052	14:46
6.0%	150000	300.00000000070435	-340197.1710436793	13832.534158751107	-326364.6368849282	300.7628108013759	39.572826858998226	1.203384434788543	459	54.64147090911865	14:45
6.2%	155000	310.0000000007521	-340243.0463514037	13745.880071511248	-326497.16627989244	298.87867832452247	39.414791959404724	1.2082094441028144	458	56.541205406188965	14:43
6.4%	160000	320.00000000079984	-340723.5250308703	14026.374812302547	-326697.15021856775	304.9775164468215	39.288197559640494	1.2121025356383444	458	58.43467164039612	14:42
6.6%	165000	330.0000000008476	-340139.124013746	14003.926604554232	-326135.19740919175	304.48942178662753	39.288197559640494	1.2121025356383444	458	60.34094595909119	14:40
6.8%	170000	340.00000000089534	-340756.777625003	13747.360903991415	-327009.4167210116	298.91087628145135	39.17531334021268	1.2155952262369811	458	62.236536741256714	14:38
7.0%	175000	350.0000000009431	-340310.04041557	14057.459700473824	-326252.5807150962	305.6533997110551	39.17531334021268	1.2155952262369811	458	64.1376280784607	14:37
7.2%	180000	360.00000000099084	-340518.5787669819	13575.149730363637	-326943.42903661827	295.1664635775127	39.17531334021268	1.2155952262369811	458	66.03797698020935	14:35
7.4%	185000	370.0000000010386	-340360.52452171675	14108.182652029554	-326252.3418696872	306.75627625608735	39.1109280160913	1.2175963675192711	458	67.94338774681091	14:33
7.6%	190000	380.00000000108633	-340563.4625279452	13745.859192623386	-326817.60333532176	298.8782243518138	39.1109280160913	1.2175963675192711	458	69.84407138824463	14:32
7.8%	195000	390.0000000011341	-340478.9151407953	13297.732241633572	-327181.1828991617	289.1345345962907	39.16392978280397	1.2159485564089114	458	71.74595189094543	14:30
8.0%	200000	400.00000000118183	-340322.74923078454	13671.797073709942	-326650.9521570746	297.2678808816536	39.26659860254118	1.2127692638908274	457	73.69767951965332	14:29
8.2%	205000	410.0000000012296	-340521.5429602437	13862.113327680214	-326659.4296325635	301.40595499217903	39.131030930904494	1.2169708476832026	457	75.61853981018066	14:27
8.4%	210000	420.00000000127733	-340315.40770273824	13999.828744381484	-326315.57895835675	304.4003214142965	39.13970799978233	1.2167010516012355	457	77.51771473884583	14:25
8.6%	215000	430.0000000013251	-340450.14097066334	13864.984598585237	-326585.1563720781	301.46838545488794	39.13970799978233	1.2167010516012355	457	79.42311596870422	14:24
8.8%	220000	440.0000000013728	-340975.39490242064	13746.010036659538	-327229.3848657611	298.88150417572643	39.03118453433287	1.2200840033643219	457	81.32526397705078	14:22
9.0%	225000	450.0000000014206	-340940.6119904533	13837.761351653353	-327102.85063879995	300.8764664202117	39.03118453433287	1.2200840033643219	457	83.23414444923401	14:20
