zinc_id,gene_name,gene_name,affinity
ZINC000026481317,POL,POL,10.41
ZINC000003809192,POL,POL,10.40
ZINC000003914596,POL,POL,10.40
ZINC000003926509,POL,POL,10.40
ZINC000003951740,POL,POL,10.40
ZINC000026479868,POL,POL,10.40
ZINC000026983596,POL,POL,10.40
ZINC000026995451,POL,POL,10.40
ZINC000027106903,POL,POL,10.40
ZINC000029230690,POL,POL,10.40
ZINC000029232743,POL,POL,10.40
ZINC000029232748,POL,POL,10.40
ZINC000029412759,POL,POL,10.40
ZINC000029412762,POL,POL,10.40
ZINC000029412764,POL,POL,10.40
ZINC000029476205,POL,POL,10.40
ZINC000029476209,POL,POL,10.40
ZINC000029547950,POL,POL,10.40
ZINC000095541915,POL,POL,10.40
ZINC000095541916,POL,POL,10.40
ZINC000095611229,POL,POL,10.40
ZINC000100014501,POL,POL,10.40
ZINC000100014502,POL,POL,10.40
ZINC000150363879,POL,POL,10.40
ZINC000150363960,POL,POL,10.40
ZINC000169370615,POL,POL,10.40
ZINC000169370834,POL,POL,10.40
ZINC000253930919,POL,POL,10.40
ZINC000253930920,POL,POL,10.40
ZINC000253930921,POL,POL,10.40
ZINC000299808245,POL,POL,10.40
ZINC000299808246,POL,POL,10.40
ZINC000299808247,POL,POL,10.40
ZINC000026489976,POL,POL,10.39
ZINC000027842501,POL,POL,10.39
ZINC000043315972,POL,POL,10.38
ZINC000029245922,POL,POL,10.37
ZINC000013761674,POL,POL,10.35
ZINC000014908090,POL,POL,10.35
ZINC000014951364,POL,POL,10.35
ZINC000026481477,POL,POL,10.35
ZINC000026575301,POL,POL,10.35
ZINC000027658011,POL,POL,10.35
ZINC000026490423,POL,POL,10.34
ZINC000095613519,POL,POL,10.34
ZINC000003937366,POL,POL,10.33
ZINC000026577589,POL,POL,10.33
ZINC000027406784,POL,POL,10.33
ZINC000026492360,POL,POL,10.32
ZINC000029247024,POL,POL,10.32
ZINC000014908089,POL,POL,10.31
ZINC000003952666,POL,POL,10.30
ZINC000003976358,POL,POL,10.30
ZINC000014908092,POL,POL,10.30
ZINC000014943399,POL,POL,10.30
ZINC000014943400,POL,POL,10.30
ZINC000026483103,POL,POL,10.30
ZINC000026574753,POL,POL,10.30
ZINC000026574758,POL,POL,10.30
ZINC000026666686,POL,POL,10.30
ZINC000027082603,POL,POL,10.30
ZINC000027082613,POL,POL,10.30
ZINC000028368041,POL,POL,10.30
ZINC000028368048,POL,POL,10.30
ZINC000028370965,POL,POL,10.30
